Identifier,PMCID,sciscore_hit,trialidentifier_hit,ctregistries_hit,nct_hit,paper_url,id_type_group,id_type,id_in_abstract,id_in_methods,id_in_other_location,other_location,paper_is_research_article,comments,tools_agree
NCT02851706,PMC8561126,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8561126/, , , , , , , , ,no
NCT02825836,PMC8882940,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8882940/, , , , , , , , ,no
NCT04678258,PMC8322787,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8322787/, , , , , , , , ,no
NCT03004248,PMC8648634,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8648634/, , , , , , , , ,no
202102020147,PMC8935403,FALSE,FALSE,TRUE,FALSE,https://pubmed.ncbi.nlm.nih.gov/PMC8935403/, , , , , , , , ,no
NCT00883051,PMC8195962,TRUE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8195962/, , , , , , , , ,yes
NL 111,PMC8390327,FALSE,FALSE,TRUE,FALSE,https://pubmed.ncbi.nlm.nih.gov/PMC8390327/, , , , , , , , ,no
https://gx.doi.org/10.17504/protocols.io.bdp7i5rn,PMC8382122,TRUE,FALSE,FALSE,FALSE,https://pubmed.ncbi.nlm.nih.gov/PMC8382122/, , , , , , , , ,no
NCT02274428,PMC8176840,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8176840/, , , , , , , , ,no
NCT02706951,PMC8516509,TRUE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8516509/, , , , , , , , ,yes
NCT03286374,PMC8714017,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8714017/, , , , , , , , ,no
NCT02277743,PMC8560147,TRUE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8560147/, , , , , , , , ,yes
NCT02260986,PMC8560147,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8560147/, , , , , , , , ,no
NL010,PMC8478793,FALSE,FALSE,TRUE,FALSE,https://pubmed.ncbi.nlm.nih.gov/PMC8478793/, , , , , , , , ,no
NCT02747251,PMC8411479,TRUE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8411479/, , , , , , , , ,yes
NCT02601014,PMC8524287,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8524287/, , , , , , , , ,no
NCT02506933,PMC8762141,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8762141/, , , , , , , , ,no
NL557,PMC8478793,FALSE,FALSE,TRUE,FALSE,https://pubmed.ncbi.nlm.nih.gov/PMC8478793/, , , , , , , , ,no
NCT04434196,PMC8882940,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8882940/, , , , , , , , ,no
NCT03252015,PMC8195962,TRUE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8195962/, , , , , , , , ,yes
NCT01643187,PMC8710120,TRUE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8710120/, , , , , , , , ,yes
NCT04072458,PMC8882940,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8882940/, , , , , , , , ,no
NCT01597622,PMC8256836,TRUE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8256836/, , , , , , , , ,yes
NCT02343120,PMC8882940,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8882940/, , , , , , , , ,no
NCT02168842,PMC8485609,FALSE,TRUE,TRUE,TRUE,https://pubmed.ncbi.nlm.nih.gov/PMC8485609/, , , , , , , , ,no
NL11,PMC8373830,FALSE,FALSE,TRUE,FALSE,https://pubmed.ncbi.nlm.nih.gov/PMC8373830/, , , , , , , , ,no
DRKS00016605,PMC8259428,FALSE,FALSE,TRUE,FALSE,https://pubmed.ncbi.nlm.nih.gov/PMC8259428/, , , , , , , , ,no
